Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
USA;2018;Ransomware;Education;55.9;898258;Insider;Weak Passwords;Firewall;45
USA;2015;Malware;Retail;11.41;502220;Nation-state;Social Engineering;VPN;33
Australia;2022;Ransomware;Retail;54.88;280089;Hacker Group;Weak Passwords;Antivirus;116
Canada;2021;SQL Injection;Government;31.7;48444;Insider;Zero-day;Firewall;42
Australia;2016;Malware;Healthcare;32.04;836394;Unknown;Weak Passwords;AI-based Detection;47
China;2020;SQL Injection;Banking;15.09;296346;Unknown;Zero-day;Firewall;44
Spain;2022;Man-in-the-Middle;Healthcare;88.52;937487;Unknown;Social Engineering;VPN;72
UK;2023;Man-in-the-Middle;Healthcare;91.15;829964;Hacker Group;Zero-day;Antivirus;55
India;2020;Phishing;Telecommunications;42.38;826910;Nation-state;Social Engineering;VPN;91
Brazil;2023;DDoS;Telecommunications;98.48;78743;Hacker Group;Weak Passwords;AI-based Detection;92
Russia;2023;Ransomware;IT;40.02;45388;Hacker Group;Weak Passwords;Encryption;30
France;2019;Malware;Government;93.38;512062;Hacker Group;Weak Passwords;Encryption;48
Canada;2021;Phishing;Retail;31.26;382041;Insider;Social Engineering;Antivirus;116
UK;2015;Ransomware;Telecommunications;26.8;140275;Unknown;Weak Passwords;Firewall;74
Brazil;2018;DDoS;Government;43.01;120517;Hacker Group;Zero-day;VPN;84
Japan;2019;Malware;Government;82.87;618138;Hacker Group;Social Engineering;Encryption;64
Spain;2020;Phishing;Education;79.97;547788;Unknown;Social Engineering;VPN;61
France;2022;Phishing;Retail;47.33;987249;Unknown;Social Engineering;VPN;84
South Africa;2023;Phishing;Healthcare;71.83;38803;Insider;Social Engineering;VPN;46
India;2016;Malware;Government;97.6;535197;Hacker Group;Weak Passwords;Firewall;64
Australia;2021;Malware;Government;80.38;738367;Hacker Group;Weak Passwords;AI-based Detection;58
Italy;2020;DDoS;Retail;90.74;494187;Unknown;Weak Passwords;AI-based Detection;50
South Africa;2015;SQL Injection;Banking;52.19;455944;Insider;Zero-day;Firewall;74
USA;2018;SQL Injection;Banking;37.1;629705;Insider;Zero-day;Firewall;70
Canada;2019;SQL Injection;Banking;24.14;637096;Insider;Zero-day;Firewall;61
Spain;2017;SQL Injection;IT;58.16;805814;Insider;Zero-day;Firewall;53
Nigeria;2024;Ransomware;IT;68.53;448771;Insider;Weak Passwords;AI-based Detection;37
France;2016;Phishing;IT;84.43;564879;Nation-state;Social Engineering;Antivirus;37
Italy;2022;Man-in-the-Middle;Banking;25.64;70508;Hacker Group;Social Engineering;VPN;91
Spain;2024;Malware;Telecommunications;63.48;917743;Unknown;Zero-day;Antivirus;82
Nigeria;2017;Ransomware;Healthcare;48.13;587272;Nation-state;Weak Passwords;AI-based Detection;76
Germany;2015;Man-in-the-Middle;IT;55.84;954102;Insider;Unpatched Software;VPN;99
Canada;2018;SQL Injection;Banking;73.11;940172;Insider;Zero-day;Firewall;99
UK;2018;DDoS;Healthcare;23.75;863411;Nation-state;Weak Passwords;Encryption;50
Iran;2017;Malware;Banking;55.01;417383;Unknown;Zero-day;VPN;104
Italy;2016;Ransomware;Education;18.54;714764;Nation-state;Weak Passwords;AI-based Detection;97
China;2017;Phishing;Education;61.98;563803;Unknown;Social Engineering;VPN;82
Spain;2024;Ransomware;Retail;63.2;644035;Nation-state;Weak Passwords;Antivirus;74
Russia;2024;SQL Injection;Retail;37.67;225928;Insider;Zero-day;Firewall;74
Russia;2020;SQL Injection;Education;33.01;69857;Nation-state;Zero-day;Firewall;85
Germany;2023;Malware;Government;5.89;77053;Unknown;Zero-day;AI-based Detection;119
Nigeria;2022;Ransomware;Government;62.91;852596;Unknown;Weak Passwords;VPN;34
South Africa;2021;Man-in-the-Middle;Government;76.86;490316;Insider;Zero-day;Antivirus;62
Brazil;2021;Phishing;Healthcare;40.59;875879;Hacker Group;Social Engineering;Antivirus;36
Mexico;2021;Phishing;Education;16.86;146907;Unknown;Social Engineering;VPN;74
Italy;2020;DDoS;IT;23.12;395573;Hacker Group;Zero-day;VPN;94
Russia;2024;SQL Injection;Government;12.94;19414;Hacker Group;Zero-day;Firewall;63
South Korea;2020;Malware;Healthcare;87.61;567863;Unknown;Zero-day;Antivirus;96
Germany;2020;Phishing;Education;79.97;759288;Unknown;Social Engineering;VPN;42
Iran;2021;SQL Injection;Banking;15.79;61453;Nation-state;Zero-day;Firewall;36
Spain;2023;SQL Injection;Banking;86.47;163238;Hacker Group;Zero-day;Firewall;24
India;2021;Ransomware;Banking;21.25;386504;Insider;Weak Passwords;Encryption;38
UK;2020;SQL Injection;Retail;98.44;282232;Insider;Zero-day;Firewall;94
Brazil;2017;Ransomware;Healthcare;21.54;861395;Nation-state;Weak Passwords;AI-based Detection;70
South Africa;2015;Ransomware;Retail;22.58;376322;Unknown;Weak Passwords;AI-based Detection;67
India;2016;DDoS;Government;56.12;748650;Unknown;Social Engineering;Firewall;92
Italy;2018;Malware;IT;71.97;409934;Unknown;Weak Passwords;Antivirus;118
Mexico;2017;DDoS;Retail;92.21;721438;Nation-state;Weak Passwords;VPN;29
India;2022;Malware;Retail;87.67;984043;Insider;Zero-day;Firewall;101
Mexico;2022;DDoS;Education;85.81;13225;Nation-state;Zero-day;Encryption;100
Spain;2024;Malware;Government;32.99;924024;Insider;Unpatched Software;Encryption;62
Italy;2021;SQL Injection;Government;11.13;957003;Nation-state;Zero-day;Firewall;107
USA;2022;Man-in-the-Middle;Education;46.83;798876;Insider;Unpatched Software;AI-based Detection;31
Japan;2016;Ransomware;Telecommunications;50.93;678399;Insider;Weak Passwords;Encryption;110
USA;2019;Phishing;Telecommunications;22.01;216654;Hacker Group;Social Engineering;Antivirus;113
Russia;2020;Ransomware;IT;7.78;969409;Nation-state;Weak Passwords;Antivirus;80
Italy;2015;Phishing;Telecommunications;44.39;333898;Hacker Group;Social Engineering;VPN;28
France;2024;SQL Injection;Healthcare;91.7;245406;Unknown;Zero-day;Firewall;81
USA;2017;DDoS;Banking;73.85;615135;Unknown;Zero-day;Firewall;55
USA;2021;Phishing;Government;54.8;764954;Unknown;Social Engineering;VPN;93
Spain;2017;DDoS;IT;84.51;290432;Unknown;Social Engineering;Encryption;32
Mexico;2016;SQL Injection;Telecommunications;95.93;276991;Nation-state;Zero-day;Firewall;58
Spain;2016;DDoS;IT;81.38;194943;Unknown;Weak Passwords;Antivirus;82
Mexico;2021;Man-in-the-Middle;Telecommunications;58.48;550429;Nation-state;Unpatched Software;Antivirus;100
France;2016;SQL Injection;Government;69.02;762513;Hacker Group;Zero-day;Firewall;88
Iran;2022;Man-in-the-Middle;Retail;39.48;928017;Nation-state;Zero-day;Antivirus;105
Canada;2017;Malware;IT;66.01;943797;Hacker Group;Weak Passwords;VPN;67
Israel;2017;DDoS;Banking;39.09;868028;Hacker Group;Zero-day;Encryption;44
Iran;2019;Phishing;Retail;30.64;58223;Unknown;Social Engineering;Antivirus;66
South Korea;2020;SQL Injection;Banking;99.3;301635;Insider;Zero-day;Firewall;64
Nigeria;2015;Ransomware;IT;65.97;287245;Hacker Group;Weak Passwords;AI-based Detection;35
Brazil;2019;Malware;Healthcare;66.96;179714;Unknown;Weak Passwords;Firewall;56
Italy;2024;Man-in-the-Middle;Healthcare;94.93;387436;Nation-state;Unpatched Software;VPN;65
Australia;2016;Man-in-the-Middle;Government;60.6;211811;Unknown;Weak Passwords;Encryption;40
Brazil;2021;DDoS;Government;23.4;218706;Hacker Group;Unpatched Software;AI-based Detection;73
Canada;2019;SQL Injection;Government;48.95;467079;Unknown;Zero-day;Firewall;90
Mexico;2023;Malware;Telecommunications;61.4;764592;Nation-state;Social Engineering;Antivirus;85
Australia;2020;Ransomware;Healthcare;52.02;923124;Nation-state;Weak Passwords;Encryption;40
Canada;2020;SQL Injection;Retail;46.33;174707;Hacker Group;Zero-day;Firewall;99
South Korea;2017;SQL Injection;Government;18.28;322512;Nation-state;Zero-day;Firewall;44
Italy;2019;Malware;Retail;1.86;457321;Hacker Group;Zero-day;VPN;65
India;2017;Man-in-the-Middle;Healthcare;53.97;452154;Hacker Group;Weak Passwords;Firewall;41
South Korea;2024;Phishing;Banking;38.9;313392;Unknown;Social Engineering;VPN;38
India;2024;Ransomware;Healthcare;99.04;156636;Insider;Weak Passwords;VPN;26
Germany;2024;DDoS;Education;6.25;214102;Unknown;Unpatched Software;Firewall;26
Iran;2024;Ransomware;Education;63.08;828107;Insider;Weak Passwords;Antivirus;82
France;2020;Malware;Telecommunications;54.47;614024;Hacker Group;Weak Passwords;AI-based Detection;57
Canada;2018;DDoS;Telecommunications;38.75;444915;Insider;Unpatched Software;VPN;97
France;2017;DDoS;Retail;52.28;631030;Nation-state;Social Engineering;AI-based Detection;51
India;2018;Malware;Retail;78.38;923755;Nation-state;Unpatched Software;Antivirus;90
Iran;2023;Phishing;Education;17.24;701094;Hacker Group;Social Engineering;VPN;90
South Korea;2020;Phishing;Education;22.87;361389;Unknown;Social Engineering;Antivirus;42
Nigeria;2018;Malware;Government;20.06;293069;Hacker Group;Zero-day;Encryption;99
Israel;2018;SQL Injection;Banking;65.85;473268;Hacker Group;Zero-day;Firewall;50
South Africa;2017;Phishing;Retail;64.09;181929;Hacker Group;Social Engineering;Antivirus;72
Nigeria;2018;Phishing;IT;77.87;109234;Hacker Group;Social Engineering;Antivirus;84
Australia;2018;Ransomware;Banking;46.75;475556;Insider;Weak Passwords;VPN;94
Nigeria;2019;SQL Injection;Government;17.2;26243;Unknown;Zero-day;Firewall;77
Italy;2023;Phishing;Telecommunications;22.99;204145;Nation-state;Social Engineering;VPN;55
Israel;2017;Man-in-the-Middle;Education;31.26;783507;Nation-state;Social Engineering;Firewall;62
Spain;2016;DDoS;Healthcare;41.16;489454;Nation-state;Weak Passwords;Firewall;109
France;2021;Malware;Education;91.89;647200;Insider;Social Engineering;Encryption;51
Spain;2019;Man-in-the-Middle;IT;6.97;425130;Unknown;Unpatched Software;VPN;46
South Korea;2017;DDoS;IT;78.71;504654;Unknown;Unpatched Software;Firewall;115
China;2024;Man-in-the-Middle;Retail;43.63;33174;Insider;Weak Passwords;Firewall;48
Canada;2018;SQL Injection;Telecommunications;83.73;16116;Nation-state;Zero-day;Firewall;85
Nigeria;2022;Ransomware;Government;89.88;429073;Insider;Weak Passwords;Encryption;52
Iran;2020;Malware;Retail;99.3;680962;Insider;Unpatched Software;Encryption;69
South Korea;2018;Phishing;Government;83.03;89948;Nation-state;Social Engineering;VPN;102
Germany;2015;Phishing;IT;4.98;325510;Unknown;Social Engineering;VPN;70
Mexico;2022;SQL Injection;Retail;11.24;996324;Unknown;Zero-day;Firewall;90
Australia;2015;Man-in-the-Middle;Telecommunications;51.1;896283;Insider;Weak Passwords;VPN;70
Iran;2019;SQL Injection;Education;44.1;768256;Nation-state;Zero-day;Firewall;54
Russia;2024;Malware;Healthcare;74.24;971186;Insider;Weak Passwords;Firewall;112
USA;2020;Malware;Government;33.12;432124;Hacker Group;Weak Passwords;VPN;40
Australia;2017;Phishing;IT;73.34;663741;Nation-state;Social Engineering;Antivirus;84
Israel;2023;DDoS;Healthcare;45.43;637572;Hacker Group;Weak Passwords;Firewall;96
India;2017;Malware;Retail;36.94;489777;Insider;Social Engineering;AI-based Detection;109
Brazil;2023;Man-in-the-Middle;Government;73.72;192145;Hacker Group;Social Engineering;Firewall;70
India;2023;DDoS;Healthcare;99.65;731391;Hacker Group;Unpatched Software;Encryption;115
South Africa;2015;SQL Injection;Healthcare;16.77;119080;Unknown;Zero-day;Firewall;109
Australia;2015;DDoS;IT;48.73;625852;Insider;Unpatched Software;Encryption;32
Iran;2021;Man-in-the-Middle;Banking;34.71;685438;Unknown;Weak Passwords;Antivirus;56
Nigeria;2017;Malware;Banking;1.79;94792;Unknown;Zero-day;AI-based Detection;52
Russia;2021;Man-in-the-Middle;Telecommunications;62.37;839974;Hacker Group;Social Engineering;Antivirus;79
Italy;2015;Man-in-the-Middle;Banking;98.69;849158;Insider;Zero-day;Antivirus;104
China;2024;Man-in-the-Middle;IT;43.53;906767;Unknown;Unpatched Software;AI-based Detection;69
India;2017;SQL Injection;Banking;13.77;199370;Unknown;Zero-day;Firewall;46
Italy;2022;Phishing;Healthcare;7.01;650257;Unknown;Social Engineering;Antivirus;75
India;2016;DDoS;Retail;25.4;273707;Unknown;Unpatched Software;VPN;112
Russia;2023;Phishing;IT;80.4;614897;Unknown;Social Engineering;VPN;47
France;2018;SQL Injection;Government;79.84;457101;Insider;Zero-day;Firewall;25
Australia;2024;Ransomware;IT;84.77;856904;Unknown;Weak Passwords;VPN;45
China;2022;Ransomware;Government;80.29;172028;Nation-state;Weak Passwords;Firewall;34
Russia;2023;Phishing;IT;16.17;322568;Hacker Group;Social Engineering;Antivirus;117
Australia;2023;SQL Injection;Retail;67.51;636337;Insider;Zero-day;Firewall;46
Canada;2018;Man-in-the-Middle;Healthcare;64.52;514568;Nation-state;Weak Passwords;Firewall;82
France;2018;SQL Injection;Retail;15.55;155727;Nation-state;Zero-day;Firewall;30
Iran;2018;DDoS;Healthcare;93.8;139293;Hacker Group;Zero-day;VPN;107
Australia;2017;DDoS;Retail;17.26;930596;Insider;Zero-day;Antivirus;117
Israel;2022;DDoS;Government;2.87;843795;Insider;Social Engineering;Firewall;84
South Africa;2020;Phishing;Education;54.7;935264;Hacker Group;Social Engineering;VPN;27
China;2020;Man-in-the-Middle;IT;5.07;303829;Insider;Social Engineering;Antivirus;39
China;2017;SQL Injection;Telecommunications;92.6;581687;Hacker Group;Zero-day;Firewall;105
India;2018;Malware;Education;9.87;629576;Unknown;Social Engineering;Antivirus;109
India;2021;Phishing;Telecommunications;52.44;331300;Unknown;Social Engineering;VPN;96
France;2018;DDoS;Telecommunications;90.24;528237;Unknown;Zero-day;Encryption;59
Brazil;2021;Phishing;Telecommunications;46.69;196700;Nation-state;Social Engineering;VPN;71
Germany;2017;Malware;IT;65.93;456397;Nation-state;Social Engineering;AI-based Detection;117
France;2023;SQL Injection;Telecommunications;73.27;860239;Insider;Zero-day;Firewall;33
Brazil;2020;Malware;Government;71.8;315020;Unknown;Social Engineering;Firewall;28
South Korea;2018;Ransomware;Banking;62.6;961711;Hacker Group;Weak Passwords;VPN;25
Russia;2016;Phishing;IT;97.63;796991;Nation-state;Social Engineering;VPN;70
Iran;2024;Malware;Education;27.52;653407;Nation-state;Social Engineering;Encryption;58
Italy;2019;Phishing;Telecommunications;9.09;367710;Insider;Social Engineering;Antivirus;51
India;2017;SQL Injection;Retail;78.75;16642;Unknown;Zero-day;Firewall;27
Japan;2019;SQL Injection;Banking;18.81;404671;Hacker Group;Zero-day;Firewall;74
Australia;2016;Malware;Government;57.39;934598;Hacker Group;Zero-day;Antivirus;64
China;2024;Ransomware;Retail;94.23;454532;Nation-state;Weak Passwords;Encryption;60
UK;2023;Malware;Government;50.77;440053;Nation-state;Weak Passwords;Antivirus;112
South Africa;2017;Malware;Education;92.63;377587;Hacker Group;Zero-day;Encryption;82
Canada;2022;Ransomware;Government;95.26;133420;Insider;Weak Passwords;Firewall;36
Australia;2017;Ransomware;Government;7.69;185836;Insider;Weak Passwords;AI-based Detection;58
Italy;2022;SQL Injection;Telecommunications;78.3;101809;Hacker Group;Zero-day;Firewall;30
South Africa;2023;Malware;Education;28.8;435637;Insider;Social Engineering;Antivirus;82
Japan;2021;Phishing;Telecommunications;92.54;278869;Nation-state;Social Engineering;Antivirus;86
India;2018;Man-in-the-Middle;Telecommunications;15.98;147240;Hacker Group;Social Engineering;Antivirus;59
India;2021;Phishing;Retail;52.2;862792;Hacker Group;Social Engineering;Antivirus;103
India;2019;Man-in-the-Middle;Banking;86.43;603295;Insider;Unpatched Software;AI-based Detection;45
Canada;2024;Malware;Education;54.07;66271;Unknown;Social Engineering;Firewall;65
Germany;2016;SQL Injection;Government;56.2;832257;Unknown;Zero-day;Firewall;49
Brazil;2020;DDoS;Healthcare;37.93;179504;Hacker Group;Unpatched Software;Firewall;66
Japan;2016;Ransomware;Healthcare;65.88;191774;Hacker Group;Weak Passwords;Firewall;70
Russia;2022;DDoS;Education;95.82;363043;Hacker Group;Zero-day;Encryption;50
South Africa;2022;SQL Injection;Telecommunications;13.95;655531;Nation-state;Zero-day;Firewall;105
Italy;2018;Man-in-the-Middle;Retail;94.75;97004;Nation-state;Weak Passwords;VPN;96
China;2022;Man-in-the-Middle;Healthcare;48.15;649210;Nation-state;Unpatched Software;Firewall;36
South Korea;2016;Ransomware;Telecommunications;99.13;88958;Insider;Weak Passwords;Antivirus;34
South Korea;2016;Ransomware;Retail;58.31;10115;Nation-state;Weak Passwords;Encryption;95
Canada;2021;SQL Injection;Healthcare;94.64;97001;Hacker Group;Zero-day;Firewall;37
Mexico;2023;DDoS;Banking;2.83;875406;Unknown;Social Engineering;Antivirus;55
China;2015;DDoS;Retail;33.78;969750;Insider;Social Engineering;AI-based Detection;49
South Africa;2016;Phishing;Retail;89.49;81448;Hacker Group;Social Engineering;Antivirus;67
South Korea;2015;Man-in-the-Middle;Education;70.24;997607;Hacker Group;Zero-day;AI-based Detection;53
Australia;2019;Ransomware;Education;25.46;611425;Insider;Weak Passwords;Antivirus;109
Australia;2017;DDoS;Retail;36.95;738745;Hacker Group;Weak Passwords;Antivirus;102
Israel;2023;SQL Injection;Banking;95.67;371709;Unknown;Zero-day;Firewall;69
China;2023;Man-in-the-Middle;Retail;21.38;49007;Hacker Group;Unpatched Software;VPN;120
South Korea;2020;Phishing;Telecommunications;81.04;663693;Hacker Group;Social Engineering;VPN;47
Nigeria;2024;Man-in-the-Middle;Education;22.4;470109;Insider;Social Engineering;Firewall;109
India;2021;Ransomware;Healthcare;64.15;56753;Unknown;Weak Passwords;Antivirus;67
Nigeria;2020;Man-in-the-Middle;IT;13.01;608454;Nation-state;Unpatched Software;Firewall;108
Canada;2016;Malware;Education;64.98;935941;Insider;Unpatched Software;VPN;26
Japan;2017;DDoS;Education;58.59;443761;Hacker Group;Weak Passwords;AI-based Detection;90
Germany;2023;Malware;Telecommunications;57.66;410097;Unknown;Unpatched Software;Encryption;68
USA;2015;Phishing;Education;93.2;809432;Nation-state;Social Engineering;Antivirus;109
USA;2016;DDoS;Government;28.44;113985;Unknown;Social Engineering;VPN;107
Germany;2015;Man-in-the-Middle;IT;19.59;73814;Nation-state;Unpatched Software;Encryption;46
France;2020;Ransomware;Retail;96.47;109543;Unknown;Weak Passwords;Antivirus;42
Iran;2016;Ransomware;Education;37.14;920541;Hacker Group;Weak Passwords;Firewall;79
Mexico;2021;DDoS;Telecommunications;6.33;692431;Insider;Social Engineering;Antivirus;83
Israel;2016;Phishing;Healthcare;44.92;72037;Unknown;Social Engineering;VPN;103
France;2019;Malware;IT;97.34;533899;Nation-state;Weak Passwords;Encryption;37
Russia;2015;DDoS;Telecommunications;11.09;64849;Unknown;Zero-day;Antivirus;68
Iran;2024;Ransomware;Education;46.61;802842;Insider;Weak Passwords;Encryption;75
China;2016;Phishing;Telecommunications;11.71;799399;Hacker Group;Social Engineering;VPN;42
France;2022;Phishing;Banking;80.1;406769;Unknown;Social Engineering;VPN;64
UK;2015;Man-in-the-Middle;Banking;84.46;825589;Insider;Social Engineering;Firewall;24
Brazil;2022;Malware;Government;77.61;248094;Hacker Group;Social Engineering;Antivirus;77
Russia;2021;Ransomware;IT;59.87;867293;Nation-state;Weak Passwords;VPN;113
Iran;2019;Malware;Healthcare;34.01;259948;Insider;Zero-day;AI-based Detection;57
Spain;2022;DDoS;Education;97.23;624715;Nation-state;Unpatched Software;Antivirus;110
Mexico;2022;DDoS;Healthcare;39.4;858175;Nation-state;Zero-day;Encryption;90
France;2015;Malware;Healthcare;99.57;499742;Nation-state;Social Engineering;Firewall;64
Italy;2023;Man-in-the-Middle;Education;74.5;41301;Unknown;Zero-day;VPN;56
Russia;2024;Ransomware;Education;20.08;749918;Insider;Weak Passwords;Encryption;79
South Korea;2021;SQL Injection;Education;9.49;283632;Unknown;Zero-day;Firewall;102
Brazil;2016;Man-in-the-Middle;Education;2.07;493950;Nation-state;Weak Passwords;Firewall;74
Israel;2024;SQL Injection;Retail;79.02;325899;Insider;Zero-day;Firewall;101
Brazil;2024;Ransomware;Government;56.24;779147;Insider;Weak Passwords;Firewall;42
Israel;2019;SQL Injection;Telecommunications;50.56;528667;Insider;Zero-day;Firewall;75
Brazil;2015;DDoS;Banking;82.35;279810;Nation-state;Unpatched Software;Firewall;32
Iran;2020;Ransomware;Telecommunications;24.26;876194;Unknown;Weak Passwords;VPN;96
Spain;2020;Ransomware;Government;90.63;701677;Nation-state;Weak Passwords;AI-based Detection;96
Israel;2019;Phishing;Healthcare;86.5;624558;Hacker Group;Social Engineering;Antivirus;58
China;2019;Phishing;Retail;90.64;590280;Insider;Social Engineering;VPN;109
USA;2018;Phishing;Education;22.11;401060;Nation-state;Social Engineering;Antivirus;69
France;2024;Man-in-the-Middle;Government;60.73;14905;Hacker Group;Unpatched Software;AI-based Detection;50
Israel;2023;SQL Injection;Retail;40.52;365147;Insider;Zero-day;Firewall;42
Mexico;2020;Phishing;Retail;32.55;654967;Hacker Group;Social Engineering;VPN;24
Canada;2018;Ransomware;IT;68.08;680409;Unknown;Weak Passwords;VPN;86
Brazil;2018;Man-in-the-Middle;Telecommunications;73.87;44070;Unknown;Unpatched Software;Encryption;35
Japan;2024;Man-in-the-Middle;Telecommunications;69.47;747904;Hacker Group;Unpatched Software;Antivirus;102
USA;2015;Phishing;Telecommunications;89.32;966825;Insider;Social Engineering;Antivirus;83
Canada;2024;Man-in-the-Middle;IT;41.12;310966;Hacker Group;Weak Passwords;AI-based Detection;118
Russia;2016;Ransomware;IT;44.7;480934;Nation-state;Weak Passwords;VPN;116
Italy;2015;Ransomware;Telecommunications;95.5;325345;Hacker Group;Weak Passwords;Firewall;72
Australia;2016;SQL Injection;Education;6.89;322100;Insider;Zero-day;Firewall;27
Nigeria;2019;Man-in-the-Middle;IT;22.95;122352;Unknown;Weak Passwords;VPN;89
Australia;2024;Phishing;Retail;38.33;186688;Nation-state;Social Engineering;Antivirus;86
Brazil;2020;SQL Injection;Retail;25.57;208468;Insider;Zero-day;Firewall;85
India;2024;Ransomware;Education;59.72;582204;Unknown;Weak Passwords;Encryption;92
Mexico;2017;Man-in-the-Middle;Telecommunications;38.22;230323;Hacker Group;Zero-day;Encryption;109
South Africa;2024;DDoS;IT;52.41;655617;Hacker Group;Unpatched Software;Firewall;90
Italy;2015;Man-in-the-Middle;Healthcare;7.85;591318;Nation-state;Social Engineering;VPN;92
Australia;2022;Malware;Healthcare;22.39;368882;Unknown;Zero-day;Encryption;100
Canada;2019;Man-in-the-Middle;Education;91.57;785086;Unknown;Social Engineering;AI-based Detection;43
Canada;2019;Ransomware;Education;96.5;426983;Hacker Group;Weak Passwords;VPN;64
South Africa;2022;Phishing;Telecommunications;33.9;55779;Unknown;Social Engineering;VPN;63
Germany;2023;DDoS;Retail;85.55;84597;Insider;Weak Passwords;Antivirus;109
Israel;2023;Man-in-the-Middle;Healthcare;51.4;510274;Insider;Social Engineering;Encryption;118
Japan;2020;Ransomware;Telecommunications;8.76;827838;Nation-state;Weak Passwords;Firewall;103
South Korea;2017;Ransomware;Telecommunications;82.36;957448;Insider;Weak Passwords;AI-based Detection;61
South Korea;2018;Ransomware;Banking;5.97;783124;Hacker Group;Weak Passwords;Antivirus;51
Iran;2018;Malware;Retail;59.24;279600;Unknown;Social Engineering;VPN;115
Canada;2019;Malware;IT;79.2;771039;Insider;Zero-day;Encryption;101
France;2024;DDoS;Retail;50.83;466107;Insider;Weak Passwords;Antivirus;27
Japan;2016;Man-in-the-Middle;Banking;78.07;797797;Nation-state;Unpatched Software;Antivirus;59
France;2024;Phishing;Telecommunications;61.57;954350;Unknown;Social Engineering;VPN;110
Australia;2019;Ransomware;Government;96.06;402036;Unknown;Weak Passwords;Encryption;110
China;2019;SQL Injection;Banking;49.8;633013;Unknown;Zero-day;Firewall;109
France;2022;DDoS;Telecommunications;43.82;238463;Insider;Social Engineering;AI-based Detection;68
Israel;2015;SQL Injection;Healthcare;99.17;331617;Hacker Group;Zero-day;Firewall;118
South Africa;2018;Phishing;Banking;96.62;780981;Unknown;Social Engineering;VPN;116
Canada;2022;Malware;IT;43.37;878422;Nation-state;Unpatched Software;VPN;45
India;2022;Ransomware;Healthcare;72.78;744309;Unknown;Weak Passwords;Antivirus;78
Germany;2021;Ransomware;Retail;86.83;679286;Unknown;Weak Passwords;Antivirus;73
Italy;2019;Ransomware;Banking;19.33;870271;Nation-state;Weak Passwords;AI-based Detection;36
Mexico;2019;DDoS;Telecommunications;12.82;552668;Nation-state;Weak Passwords;VPN;75
Japan;2017;Man-in-the-Middle;Retail;84.13;159546;Unknown;Weak Passwords;Encryption;61
South Africa;2019;SQL Injection;Banking;56.93;658559;Unknown;Zero-day;Firewall;115
Iran;2022;Phishing;Education;98.72;688944;Insider;Social Engineering;Antivirus;48
Italy;2016;DDoS;Healthcare;14.1;894877;Nation-state;Social Engineering;Encryption;29
USA;2016;Man-in-the-Middle;Retail;36.32;986406;Hacker Group;Weak Passwords;Encryption;105
Israel;2017;DDoS;IT;89.25;454083;Unknown;Social Engineering;Encryption;98
Iran;2016;Phishing;IT;31.16;61300;Hacker Group;Social Engineering;Antivirus;79
Spain;2024;Phishing;Telecommunications;14.99;348201;Insider;Social Engineering;VPN;55
Japan;2024;DDoS;Telecommunications;58.29;534985;Nation-state;Zero-day;Encryption;102
Japan;2018;SQL Injection;Telecommunications;89.64;189482;Unknown;Zero-day;Firewall;67
Nigeria;2021;Ransomware;Retail;69.24;89863;Hacker Group;Weak Passwords;Firewall;53
Mexico;2021;Phishing;Healthcare;71.98;583063;Nation-state;Social Engineering;Antivirus;77
Japan;2019;Malware;IT;35.32;93730;Unknown;Zero-day;VPN;62
Nigeria;2023;DDoS;Telecommunications;37.16;113243;Hacker Group;Weak Passwords;AI-based Detection;87
France;2023;Malware;Healthcare;21.96;351475;Hacker Group;Weak Passwords;Antivirus;87
Canada;2024;Malware;Education;39.67;352918;Hacker Group;Social Engineering;AI-based Detection;47
Japan;2024;Ransomware;Telecommunications;76.19;592457;Nation-state;Weak Passwords;Antivirus;104
UK;2020;Malware;Retail;33.71;767988;Unknown;Unpatched Software;VPN;53
South Korea;2024;SQL Injection;Healthcare;51.87;297543;Nation-state;Zero-day;Firewall;111
Mexico;2018;DDoS;Retail;10.86;597711;Unknown;Weak Passwords;Encryption;57
Russia;2015;Phishing;Government;1.86;139039;Insider;Social Engineering;VPN;90
South Korea;2022;Phishing;Government;63.09;493694;Nation-state;Social Engineering;Antivirus;88
Iran;2018;Phishing;Government;52.63;927860;Insider;Social Engineering;Antivirus;84
USA;2024;Man-in-the-Middle;Government;39.79;309422;Hacker Group;Weak Passwords;Firewall;120
Nigeria;2023;Malware;Banking;31.01;424580;Nation-state;Weak Passwords;Antivirus;55
Nigeria;2016;SQL Injection;Education;79.56;410521;Nation-state;Zero-day;Firewall;61
France;2016;Malware;Banking;12.89;125798;Hacker Group;Unpatched Software;Firewall;51
Canada;2021;Ransomware;Telecommunications;60.9;18855;Hacker Group;Weak Passwords;Firewall;110
Nigeria;2023;Ransomware;Telecommunications;89.55;679687;Nation-state;Weak Passwords;VPN;77
UK;2017;SQL Injection;Healthcare;54.28;185403;Insider;Zero-day;Firewall;63
Russia;2018;Man-in-the-Middle;Education;3.91;695040;Nation-state;Unpatched Software;Antivirus;84
Germany;2018;Man-in-the-Middle;Healthcare;41.84;38752;Insider;Weak Passwords;VPN;82
Brazil;2016;Ransomware;Telecommunications;73.7;624118;Hacker Group;Weak Passwords;Encryption;24
